PT13A.peg.1	iSF_1195.SF2731	32.4	102	66	2	20	120	202	301	4.25e-05	41.6
PT13A.peg.1	iSSON_1240.SSON_2852	32.4	102	66	2	20	120	202	301	5.78e-05	41.2
PT13A.peg.1	iML1515.b2708	32.4	102	66	2	20	120	215	314	1.08e-04	40.4
PT13A.peg.1	iSDY_1059.SDY_2905	32.4	102	66	2	20	120	202	301	1.06e-04	40.4
PT13A.peg.10	iJN1463.PP_3285	36.1	147	93	1	1	147	1	146	5.63e-19	79.7
PT13A.peg.13	iNF517.LLMG_RS08550	32.5	508	299	14	19	515	22	496	6.23e-64	216
PT13A.peg.13	iCN900.CD630_09010	32.8	509	307	13	19	513	24	511	9.94e-61	207
PT13A.peg.13	iYS854.USA300HOU_RS03905	31.1	495	298	15	19	501	22	485	3.01e-57	198
PT13A.peg.14	iYO844.BSU33830	48.9	237	120	1	2	238	1	236	4.89e-76	235
PT13A.peg.14	iYO844.BSU33730	48.9	237	120	1	2	238	1	236	5.67e-75	232
PT13A.peg.14	iYS854.USA300HOU_RS13270	46.4	237	126	1	2	238	1	236	9.45e-71	222
PT13A.peg.14	iJN1463.PP_0868	45.3	236	126	1	2	234	1	236	3.19e-69	218
PT13A.peg.14	iPC815.YPO1198	49.1	224	114	0	12	235	10	233	7.30e-68	212
PT13A.peg.16	iSDY_1059.SDY_4040	52.8	252	118	1	18	268	9	260	1.58e-80	243
PT13A.peg.16	iYL1228.KPN_03951	52.4	252	119	1	18	268	9	260	3.18e-80	243
PT13A.peg.16	iML1515.b3607	52.4	252	119	1	18	268	9	260	4.50e-80	242
PT13A.peg.16	iSbBS512_1146.SbBS512_E4035	52.4	252	119	1	18	268	9	260	4.50e-80	242
PT13A.peg.16	iSF_1195.SF3646	52.4	252	119	1	18	268	9	260	4.50e-80	242
PT13A.peg.16	iSSON_1240.SSON_3798	52.4	252	119	1	18	268	9	260	4.50e-80	242
PT13A.peg.16	STM_v1_0.STM3699	52.4	252	119	1	18	268	9	260	9.03e-80	241
PT13A.peg.16	iPC815.YPO0070	51.8	255	122	1	18	271	9	263	1.03e-78	239
