13M1.peg.1	iSynCJ816.SGL_RS10925	59.4	64	21	1	1	59	336	399	8.72e-19	77.0
13M1.peg.24	iAF692.Mbar_A0086	54.9	213	94	2	1	213	1	211	5.74e-74	222
13M1.peg.24	iCN900.CD630_00910	50.0	214	106	1	1	214	1	213	5.20e-70	212
13M1.peg.24	iNF517.LLMG_RS11835	49.3	215	108	1	1	214	1	215	3.32e-68	207
13M1.peg.24	iAF987.Gmet_0647	50.2	213	105	1	1	213	1	212	3.82e-67	205
13M1.peg.24	iYO844.BSU01370	48.1	214	110	1	1	214	1	213	1.64e-66	203
13M1.peg.29	iEK1008.Rv0125	28.6	336	171	13	24	334	23	314	1.22e-20	92.8
13M1.peg.30	STM_v1_0.STM3338	28.3	272	174	10	16	281	23	279	5.71e-08	54.3
13M1.peg.30	iML1515.b3224	30.5	190	124	5	16	200	23	209	3.09e-07	52.0
13M1.peg.30	iSbBS512_1146.SbBS512_E3552	30.5	190	124	5	16	200	23	209	3.09e-07	52.0
13M1.peg.30	iSDY_1059.SDY_3399	30.5	190	124	5	16	200	33	219	3.13e-07	52.0
13M1.peg.30	iSF_1195.SF3260	30.5	190	124	5	16	200	33	219	3.13e-07	52.0
13M1.peg.30	iSSON_1240.SSON_3365	30.5	190	124	5	16	200	33	219	3.13e-07	52.0
13M1.peg.33	iYO844.BSU19230	31.8	195	121	4	1	186	1	192	1.88e-28	105
13M1.peg.35	iML1515.b0624	37.0	92	57	1	10	101	7	97	7.56e-14	63.2
13M1.peg.36	iNF517.LLMG_RS07670	25.7	331	200	8	8	330	5	297	2.16e-27	109
13M1.peg.36	iCN900.CD630_25960	28.1	331	192	9	9	330	9	302	3.10e-27	108
13M1.peg.36	iYS854.USA300HOU_RS06015	33.6	217	132	7	113	323	83	293	2.14e-25	103
13M1.peg.39	iCN718.ABAYE_RS16760	38.9	198	109	5	7	202	6	193	2.05e-30	112
13M1.peg.41	iCHOv1.100757328	25.0	220	131	9	4	198	3	213	8.00e-09	54.3
13M1.peg.41	iYL1228.KPN_04830	25.9	197	122	8	7	187	6	194	7.00e-09	53.5
13M1.peg.43	iCN900.CD630_19040	31.0	229	156	1	17	243	33	261	2.21e-33	121
13M1.peg.43	iCN900.CD630_19800	25.0	232	174	0	12	243	16	247	1.75e-33	121
13M1.peg.43	iCN718.ABAYE_RS19055	28.5	239	169	1	12	248	21	259	3.44e-31	115
13M1.peg.43	iYO844.BSU08850	28.0	254	177	2	3	250	19	272	6.45e-30	112
13M1.peg.43	iPC815.YPO3626	27.2	250	180	1	1	248	4	253	1.40e-29	111
13M1.peg.43	iYL1228.KPN_00970	25.8	244	179	1	7	248	9	252	3.68e-29	110
13M1.peg.44	iJN1463.PP_0209	43.3	238	128	2	13	250	17	247	2.67e-59	189
13M1.peg.44	iSynCJ816.SGL_RS16585	40.8	262	134	6	7	260	22	270	3.29e-57	184
13M1.peg.44	iSynCJ816.SGL_RS06580	38.3	266	147	5	1	260	11	265	4.06e-55	180
13M1.peg.44	iSynCJ816.SGL_RS05565	42.3	227	122	2	21	247	17	234	9.29e-56	179
13M1.peg.44	iML1515.b0366	41.7	206	113	2	21	226	12	210	6.05e-54	174
13M1.peg.44	iSSON_1240.SSON_0344	41.7	206	113	2	21	226	12	210	6.05e-54	174
13M1.peg.44	iYL1228.KPN_00312	40.8	206	115	1	21	226	12	210	8.54e-54	174
13M1.peg.44	iSbBS512_1146.SbBS512_E0279	41.7	206	113	2	21	226	12	210	1.71e-53	173
13M1.peg.44	iYO844.BSU08830	39.4	226	127	1	26	251	22	237	2.41e-53	173
13M1.peg.44	iSF_1195.SF0252	41.3	206	114	2	21	226	12	210	6.79e-53	172
13M1.peg.44	iAF987.Gmet_1899	41.9	234	126	3	9	239	7	233	1.24e-52	171
13M1.peg.44	iPC815.YPO3627	41.5	229	117	3	9	237	13	224	2.13e-52	171
13M1.peg.45	iCN900.CD630_19790	26.0	246	178	3	30	275	42	283	1.83e-12	67.0
13M1.peg.48	iCHOv1.100759926	69.8	506	147	2	7	510	38	539	3.57e-258	714
13M1.peg.48	iAT_PLT_636.5096	68.4	526	140	3	7	510	38	559	2.31e-254	705
13M1.peg.48	iLB1027_lipid.PHATRDRAFT_45886	65.7	505	167	2	7	510	82	581	8.88e-243	677
13M1.peg.48	iMM1415.66904	64.9	504	135	2	7	510	40	501	5.89e-231	644
13M1.peg.50	iCHOv1.100765530	52.1	674	303	6	2	663	58	723	1.29e-231	660
13M1.peg.50	iMM1415.110821	52.6	677	295	6	2	663	59	724	1.34e-231	660
13M1.peg.50	iAT_PLT_636.5095	50.8	677	307	7	2	663	63	728	2.42e-225	644
13M1.peg.52	iEK1008.Rv1912c	28.7	258	133	6	8	260	1	212	2.20e-15	75.9
13M1.peg.53	iCHOv1.100764540	25.4	248	155	11	3	233	7	241	1.26e-07	50.8
13M1.peg.55	iSF_1195.SF0969	40.5	84	49	1	15	97	4	87	6.60e-13	58.9
13M1.peg.55	iML1515.b0968	38.1	84	51	1	15	97	4	87	1.32e-12	58.2
13M1.peg.55	iSbBS512_1146.SbBS512_E2346	38.1	84	51	1	15	97	4	87	1.32e-12	58.2
13M1.peg.55	iSDY_1059.SDY_0943	38.1	84	51	1	15	97	4	87	1.32e-12	58.2
13M1.peg.55	iSSON_1240.SSON_0973	38.1	84	51	1	15	97	4	87	1.32e-12	58.2
13M1.peg.59	iMM904.YDL178W	37.0	454	273	4	24	470	83	530	3.21e-94	294
13M1.peg.59	iMM904.YEL071W	36.1	462	270	6	22	470	47	496	2.05e-89	281
13M1.peg.64	iML1515.b4214	50.0	246	109	7	18	260	7	241	1.21e-59	189
13M1.peg.64	iSbBS512_1146.SbBS512_E4758	49.6	246	110	7	18	260	7	241	1.71e-59	189
13M1.peg.64	iSDY_1059.SDY_4385	49.6	246	110	7	18	260	7	241	1.71e-59	189
13M1.peg.64	iSSON_1240.SSON_4399	49.6	246	110	7	18	260	7	241	1.71e-59	189
13M1.peg.64	iSF_1195.SF4272	49.2	246	111	7	18	260	7	241	9.66e-59	187
