medium	description	compound	name
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	cl	Cl-
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	cobalt2	Co2+
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	cu2	Cu2+
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	fe2	Fe2+
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	fe3	Fe3+
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	h2o	H2O
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	h	H+
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	k	K+
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	mg2	Mg
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	mn2	Mn2+
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	mobd	Molybdate
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	na1	Na+
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	nh4	Ammonium
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	ni2	Ni2+
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	o2	O2
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	pi	Phosphate
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	so4	Sulfate
oxa_medium	M9 medium containing Oxalic Acid as sole carbon source	zn2	Zn2+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	leu__L	L-Leucine
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	ca2	Ca2+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	cl	Cl-
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	cobalt2	Co2+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	cu2	Cu2+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	fe2	Fe2+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	fe3	Fe3+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	h2o	H2O
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	h	H+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	k	K+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	mg2	Mg
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	mn2	Mn2+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	mobd	Molybdate
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	na1	Na+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	nh4	Ammonium
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	ni2	Ni2+
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	o2	O2
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	pi	Phosphate
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	so4	Sulfate
leu__L_medium	M9 medium containing L-Leucine as sole carbon source	zn2	Zn2+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	met__L	L-Methionine
met__L_medium	M9 medium containing L-Methionine as sole carbon source	ca2	Ca2+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	cl	Cl-
met__L_medium	M9 medium containing L-Methionine as sole carbon source	cobalt2	Co2+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	cu2	Cu2+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	fe2	Fe2+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	fe3	Fe3+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	h2o	H2O
met__L_medium	M9 medium containing L-Methionine as sole carbon source	h	H+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	k	K+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	mg2	Mg
met__L_medium	M9 medium containing L-Methionine as sole carbon source	mn2	Mn2+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	mobd	Molybdate
met__L_medium	M9 medium containing L-Methionine as sole carbon source	na1	Na+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	nh4	Ammonium
met__L_medium	M9 medium containing L-Methionine as sole carbon source	ni2	Ni2+
met__L_medium	M9 medium containing L-Methionine as sole carbon source	o2	O2
met__L_medium	M9 medium containing L-Methionine as sole carbon source	pi	Phosphate
met__L_medium	M9 medium containing L-Methionine as sole carbon source	so4	Sulfate
met__L_medium	M9 medium containing L-Methionine as sole carbon source	zn2	Zn2+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	ile__L	L-Isoleucine
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	ca2	Ca2+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	cl	Cl-
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	cobalt2	Co2+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	cu2	Cu2+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	fe2	Fe2+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	fe3	Fe3+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	h2o	H2O
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	h	H+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	k	K+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	mg2	Mg
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	mn2	Mn2+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	mobd	Molybdate
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	na1	Na+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	nh4	Ammonium
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	ni2	Ni2+
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	o2	O2
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	pi	Phosphate
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	so4	Sulfate
ile__L_medium	M9 medium containing L-Isoleucine as sole carbon source	zn2	Zn2+
man_medium	M9 medium containing D-Mannose as sole carbon source	man	D-Mannose
man_medium	M9 medium containing D-Mannose as sole carbon source	ca2	Ca2+
man_medium	M9 medium containing D-Mannose as sole carbon source	cl	Cl-
man_medium	M9 medium containing D-Mannose as sole carbon source	cobalt2	Co2+
man_medium	M9 medium containing D-Mannose as sole carbon source	cu2	Cu2+
man_medium	M9 medium containing D-Mannose as sole carbon source	fe2	Fe2+
man_medium	M9 medium containing D-Mannose as sole carbon source	fe3	Fe3+
man_medium	M9 medium containing D-Mannose as sole carbon source	h2o	H2O
man_medium	M9 medium containing D-Mannose as sole carbon source	h	H+
man_medium	M9 medium containing D-Mannose as sole carbon source	k	K+
man_medium	M9 medium containing D-Mannose as sole carbon source	mg2	Mg
man_medium	M9 medium containing D-Mannose as sole carbon source	mn2	Mn2+
man_medium	M9 medium containing D-Mannose as sole carbon source	mobd	Molybdate
man_medium	M9 medium containing D-Mannose as sole carbon source	na1	Na+
man_medium	M9 medium containing D-Mannose as sole carbon source	nh4	Ammonium
man_medium	M9 medium containing D-Mannose as sole carbon source	ni2	Ni2+
man_medium	M9 medium containing D-Mannose as sole carbon source	o2	O2
man_medium	M9 medium containing D-Mannose as sole carbon source	pi	Phosphate
man_medium	M9 medium containing D-Mannose as sole carbon source	so4	Sulfate
man_medium	M9 medium containing D-Mannose as sole carbon source	zn2	Zn2+
galt_medium	M9 medium containing Dulcitol as sole carbon source	galt	Dulcitol
galt_medium	M9 medium containing Dulcitol as sole carbon source	ca2	Ca2+
galt_medium	M9 medium containing Dulcitol as sole carbon source	cl	Cl-
galt_medium	M9 medium containing Dulcitol as sole carbon source	cobalt2	Co2+
galt_medium	M9 medium containing Dulcitol as sole carbon source	cu2	Cu2+
galt_medium	M9 medium containing Dulcitol as sole carbon source	fe2	Fe2+
galt_medium	M9 medium containing Dulcitol as sole carbon source	fe3	Fe3+
galt_medium	M9 medium containing Dulcitol as sole carbon source	h2o	H2O
galt_medium	M9 medium containing Dulcitol as sole carbon source	h	H+
galt_medium	M9 medium containing Dulcitol as sole carbon source	k	K+
galt_medium	M9 medium containing Dulcitol as sole carbon source	mg2	Mg
galt_medium	M9 medium containing Dulcitol as sole carbon source	mn2	Mn2+
galt_medium	M9 medium containing Dulcitol as sole carbon source	mobd	Molybdate
galt_medium	M9 medium containing Dulcitol as sole carbon source	na1	Na+
galt_medium	M9 medium containing Dulcitol as sole carbon source	nh4	Ammonium
galt_medium	M9 medium containing Dulcitol as sole carbon source	ni2	Ni2+
galt_medium	M9 medium containing Dulcitol as sole carbon source	o2	O2
galt_medium	M9 medium containing Dulcitol as sole carbon source	pi	Phosphate
galt_medium	M9 medium containing Dulcitol as sole carbon source	so4	Sulfate
galt_medium	M9 medium containing Dulcitol as sole carbon source	zn2	Zn2+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	glcr	D-Saccharic Acid
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	ca2	Ca2+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	cl	Cl-
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	cobalt2	Co2+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	cu2	Cu2+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	fe2	Fe2+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	fe3	Fe3+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	h2o	H2O
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	h	H+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	k	K+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	mg2	Mg
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	mn2	Mn2+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	mobd	Molybdate
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	na1	Na+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	nh4	Ammonium
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	ni2	Ni2+
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	o2	O2
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	pi	Phosphate
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	so4	Sulfate
glcr_medium	M9 medium containing D-Saccharic Acid as sole carbon source	zn2	Zn2+
gal_medium	M9 medium containing D-Galactose as sole carbon source	gal	D-Galactose
gal_medium	M9 medium containing D-Galactose as sole carbon source	ca2	Ca2+
gal_medium	M9 medium containing D-Galactose as sole carbon source	cl	Cl-
gal_medium	M9 medium containing D-Galactose as sole carbon source	cobalt2	Co2+
gal_medium	M9 medium containing D-Galactose as sole carbon source	cu2	Cu2+
gal_medium	M9 medium containing D-Galactose as sole carbon source	fe2	Fe2+
gal_medium	M9 medium containing D-Galactose as sole carbon source	fe3	Fe3+
gal_medium	M9 medium containing D-Galactose as sole carbon source	h2o	H2O
gal_medium	M9 medium containing D-Galactose as sole carbon source	h	H+
gal_medium	M9 medium containing D-Galactose as sole carbon source	k	K+
gal_medium	M9 medium containing D-Galactose as sole carbon source	mg2	Mg
gal_medium	M9 medium containing D-Galactose as sole carbon source	mn2	Mn2+
gal_medium	M9 medium containing D-Galactose as sole carbon source	mobd	Molybdate
gal_medium	M9 medium containing D-Galactose as sole carbon source	na1	Na+
gal_medium	M9 medium containing D-Galactose as sole carbon source	nh4	Ammonium
gal_medium	M9 medium containing D-Galactose as sole carbon source	ni2	Ni2+
gal_medium	M9 medium containing D-Galactose as sole carbon source	o2	O2
gal_medium	M9 medium containing D-Galactose as sole carbon source	pi	Phosphate
gal_medium	M9 medium containing D-Galactose as sole carbon source	so4	Sulfate
gal_medium	M9 medium containing D-Galactose as sole carbon source	zn2	Zn2+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	fuc__L	L-Fucose
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	ca2	Ca2+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	cl	Cl-
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	cobalt2	Co2+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	cu2	Cu2+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	fe2	Fe2+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	fe3	Fe3+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	h2o	H2O
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	h	H+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	k	K+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	mg2	Mg
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	mn2	Mn2+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	mobd	Molybdate
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	na1	Na+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	nh4	Ammonium
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	ni2	Ni2+
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	o2	O2
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	pi	Phosphate
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	so4	Sulfate
fuc__L_medium	M9 medium containing L-Fucose as sole carbon source	zn2	Zn2+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	g6p	D-Glucose-6-Phosphate
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	ca2	Ca2+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	cl	Cl-
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	cobalt2	Co2+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	cu2	Cu2+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	fe2	Fe2+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	fe3	Fe3+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	h2o	H2O
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	h	H+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	k	K+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	mg2	Mg
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	mn2	Mn2+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	mobd	Molybdate
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	na1	Na+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	nh4	Ammonium
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	ni2	Ni2+
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	o2	O2
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	pi	Phosphate
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	so4	Sulfate
g6p_medium	M9 medium containing D-Glucose-6-Phosphate as sole carbon source	zn2	Zn2+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	mal__D	D,L-Malic Acid
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	ca2	Ca2+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	cl	Cl-
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	cobalt2	Co2+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	cu2	Cu2+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	fe2	Fe2+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	fe3	Fe3+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	h2o	H2O
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	h	H+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	k	K+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	mg2	Mg
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	mn2	Mn2+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	mobd	Molybdate
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	na1	Na+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	nh4	Ammonium
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	ni2	Ni2+
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	o2	O2
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	pi	Phosphate
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	so4	Sulfate
mal__D_medium	M9 medium containing D,L-Malic Acid as sole carbon source	zn2	Zn2+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	rmn	L-Rhamnose
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	ca2	Ca2+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	cl	Cl-
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	cobalt2	Co2+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	cu2	Cu2+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	fe2	Fe2+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	fe3	Fe3+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	h2o	H2O
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	h	H+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	k	K+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	mg2	Mg
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	mn2	Mn2+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	mobd	Molybdate
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	na1	Na+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	nh4	Ammonium
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	ni2	Ni2+
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	o2	O2
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	pi	Phosphate
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	so4	Sulfate
rmn_medium	M9 medium containing L-Rhamnose as sole carbon source	zn2	Zn2+
fru_medium	M9 medium containing D-Fructose as sole carbon source	fru	D-Fructose
fru_medium	M9 medium containing D-Fructose as sole carbon source	ca2	Ca2+
fru_medium	M9 medium containing D-Fructose as sole carbon source	cl	Cl-
fru_medium	M9 medium containing D-Fructose as sole carbon source	cobalt2	Co2+
fru_medium	M9 medium containing D-Fructose as sole carbon source	cu2	Cu2+
fru_medium	M9 medium containing D-Fructose as sole carbon source	fe2	Fe2+
fru_medium	M9 medium containing D-Fructose as sole carbon source	fe3	Fe3+
fru_medium	M9 medium containing D-Fructose as sole carbon source	h2o	H2O
fru_medium	M9 medium containing D-Fructose as sole carbon source	h	H+
fru_medium	M9 medium containing D-Fructose as sole carbon source	k	K+
fru_medium	M9 medium containing D-Fructose as sole carbon source	mg2	Mg
fru_medium	M9 medium containing D-Fructose as sole carbon source	mn2	Mn2+
fru_medium	M9 medium containing D-Fructose as sole carbon source	mobd	Molybdate
fru_medium	M9 medium containing D-Fructose as sole carbon source	na1	Na+
fru_medium	M9 medium containing D-Fructose as sole carbon source	nh4	Ammonium
fru_medium	M9 medium containing D-Fructose as sole carbon source	ni2	Ni2+
fru_medium	M9 medium containing D-Fructose as sole carbon source	o2	O2
fru_medium	M9 medium containing D-Fructose as sole carbon source	pi	Phosphate
fru_medium	M9 medium containing D-Fructose as sole carbon source	so4	Sulfate
fru_medium	M9 medium containing D-Fructose as sole carbon source	zn2	Zn2+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	ac	Acetic Acid
ac_medium	M9 medium containing Acetic Acid as sole carbon source	ca2	Ca2+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	cl	Cl-
ac_medium	M9 medium containing Acetic Acid as sole carbon source	cobalt2	Co2+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	cu2	Cu2+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	fe2	Fe2+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	fe3	Fe3+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	h2o	H2O
ac_medium	M9 medium containing Acetic Acid as sole carbon source	h	H+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	k	K+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	mg2	Mg
ac_medium	M9 medium containing Acetic Acid as sole carbon source	mn2	Mn2+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	mobd	Molybdate
ac_medium	M9 medium containing Acetic Acid as sole carbon source	na1	Na+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	nh4	Ammonium
ac_medium	M9 medium containing Acetic Acid as sole carbon source	ni2	Ni2+
ac_medium	M9 medium containing Acetic Acid as sole carbon source	o2	O2
ac_medium	M9 medium containing Acetic Acid as sole carbon source	pi	Phosphate
ac_medium	M9 medium containing Acetic Acid as sole carbon source	so4	Sulfate
ac_medium	M9 medium containing Acetic Acid as sole carbon source	zn2	Zn2+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	13ppd	1,2-Propanediol
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	ca2	Ca2+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	cl	Cl-
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	cobalt2	Co2+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	cu2	Cu2+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	fe2	Fe2+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	fe3	Fe3+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	h2o	H2O
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	h	H+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	k	K+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	mg2	Mg
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	mn2	Mn2+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	mobd	Molybdate
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	na1	Na+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	nh4	Ammonium
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	ni2	Ni2+
13ppd_medium	M9 medium containing 1,2-Propanediol as sole carbon source	o2	O2
